127.0.0.1 - - [06/Nov/2024:10:02:36 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:02:37 +0530] "GET /MiniProject/WEB-INF/classes/com/gnit/DatabaseFile/DbConnectionTest.java HTTP/1.1" 404 683
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:02:37 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:02:53 +0530] "GET /MiniProject/login.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:03:06 +0530] "POST /MiniProject/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:03:06 +0530] "GET /MiniProject/welcome.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:03:11 +0530] "GET /MiniProject/faculty-management.jsp HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:03:31 +0530] "GET /MiniProject/index.jsp HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:03:45 +0530] "GET /MiniProject/faculty-management.jsp HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:07 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:11 +0530] "GET /MiniProject/faculty-management.jsp HTTP/1.1" 200 14716
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:16 +0530] "GET /MiniProject/login.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:22 +0530] "POST /MiniProject/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:22 +0530] "GET /MiniProject/welcome.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:24 +0530] "GET /MiniProject/faculty-allocation-form.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:28 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:04:49 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:05:42 +0530] "GET /MiniProject/notification-center.jsp HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:05:56 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:06:32 +0530] "GET /MiniProject/notification-center.jsp HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:06:36 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4438
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:08:57 +0530] "GET /MiniProject/login.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:05 +0530] "POST /MiniProject/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:05 +0530] "GET /MiniProject/welcome.jsp HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:09 +0530] "GET /MiniProject/faculty-management.jsp HTTP/1.1" 200 14719
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:14 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:23 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:34 +0530] "GET /MiniProject/login.jsp HTTP/1.1" 200 2372
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:39 +0530] "POST /MiniProject/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:39 +0530] "GET /MiniProject/welcome.jsp HTTP/1.1" 200 621
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:41 +0530] "GET /MiniProject/notification-center.jsp HTTP/1.1" 200 4703
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:44 +0530] "GET /MiniProject/faculty-allocation-form.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:48 +0530] "GET /MiniProject/faculty-availability.jsp HTTP/1.1" 200 4448
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:09:51 +0530] "GET /MiniProject/faculty-allocation-form.jsp HTTP/1.1" 200 2616
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:10:11 +0530] "POST /MiniProject/FacultyAllocationServlet HTTP/1.1" 200 4573
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:10:11 +0530] "GET /MiniProject/CSS/display-allocations.css HTTP/1.1" 200 1575
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:10:11 +0530] "GET /MiniProject/images/5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:10:11 +0530] "GET /MiniProject/CSS/edit-icon.png HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:10:26 +0530] "POST /MiniProject/FacultyAllocationServlet HTTP/1.1" 200 4576
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:10:30 +0530] "POST /MiniProject/FacultyAllocationServlet HTTP/1.1" 200 4574
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:10:37 +0530] "GET /MiniProject/notification-center.jsp HTTP/1.1" 200 5049
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:11:08 +0530] "POST /MiniProject/NotificationServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:11:08 +0530] "GET /MiniProject/notification_success.jsp HTTP/1.1" 200 1681
0:0:0:0:0:0:0:1 - - [06/Nov/2024:10:18:35 +0530] "GET /MiniProject/login.jsp HTTP/1.1" 200 2372
